riesgo_laboral,EDAD,SEXO,NIVEL_EDUCATIVO,EXPERIENCIA_MESES,ESTRATO,ZONA,REGION,ESTADO_CIVIL,JEFATURA_HOGAR
0.0,23,2,10,11.0,3.0,1,5,6,3
1.0,28,1,5,12.0,3.0,1,5,6,3
1.0,19,1,10,,3.0,1,5,6,3
,19,1,10,,2.0,1,5,6,3
1.0,25,1,5,,2.0,1,5,6,3
,15,1,4,,1.0,1,5,6,8
0.0,27,1,9,12.0,2.0,1,5,3,1
1.0,23,2,5,4.0,2.0,1,5,3,2
,16,1,5,,0.0,1,5,6,3
0.0,27,2,10,12.0,3.0,1,5,4,1
,26,1,8,6.0,3.0,1,5,6,6
,17,1,4,,1.0,1,5,6,3
0.0,22,2,10,12.0,3.0,1,5,6,3
1.0,17,1,5,,1.0,1,5,6,3
1.0,21,2,5,12.0,1.0,1,5,6,6
,26,2,8,,1.0,1,5,2,2
,25,2,5,,1.0,1,5,6,3
0.0,26,2,5,12.0,2.0,1,5,2,7
,23,2,8,,1.0,1,5,2,1
0.0,25,1,4,12.0,1.0,1,5,2,2
0.0,23,1,9,12.0,3.0,1,5,6,3
0.0,24,2,9,10.0,2.0,1,5,6,1
0.0,22,2,9,12.0,2.0,1,5,6,6
,15,2,4,,3.0,1,5,6,9
1.0,18,1,4,8.0,1.0,1,5,6,3
,16,2,4,,1.0,1,5,6,3
,18,1,9,,2.0,1,5,6,3
0.0,25,2,9,12.0,2.0,1,5,1,1
0.0,28,1,5,12.0,2.0,1,5,1,2
1.0,20,2,8,,2.0,1,5,6,6
0.0,28,2,5,12.0,2.0,1,5,4,3
0.0,26,1,8,12.0,1.0,1,5,6,3
0.0,24,1,10,12.0,1.0,1,5,6,3
,17,2,5,,1.0,1,5,6,3
0.0,27,1,5,12.0,1.0,1,5,6,9
0.0,23,1,5,12.0,2.0,1,5,6,3
,19,2,9,,1.0,1,5,6,9
,19,1,9,,1.0,1,5,6,13
0.0,28,1,10,12.0,3.0,1,5,6,3
0.0,26,2,8,12.0,3.0,1,5,6,3
0.0,24,2,9,12.0,1.0,1,5,4,1
0.0,23,2,10,12.0,2.0,1,5,6,3
0.0,22,1,9,12.0,2.0,1,5,6,3
,19,1,4,12.0,2.0,1,5,6,3
1.0,25,1,5,12.0,2.0,1,5,2,1
1.0,23,2,5,,2.0,1,5,2,2
1.0,26,1,10,12.0,3.0,1,5,6,1
0.0,24,1,5,12.0,1.0,1,5,6,1
,16,2,4,,1.0,1,5,6,3
1.0,21,1,5,12.0,1.0,1,5,6,9
,16,1,4,,1.0,1,5,6,3
,17,1,5,,1.0,1,5,6,3
,16,2,5,,1.0,1,5,6,3
1.0,21,1,5,12.0,2.0,1,5,6,3
,27,2,5,,1.0,1,5,2,2
0.0,21,1,10,12.0,1.0,1,5,6,3
0.0,27,1,9,12.0,2.0,1,5,1,2
0.0,27,2,5,12.0,2.0,1,5,6,1
,15,2,4,,2.0,1,5,6,3
,17,1,9,,1.0,1,5,6,3
,18,2,6,,2.0,1,5,6,3
1.0,19,1,10,12.0,3.0,1,5,6,3
,20,1,10,,3.0,1,5,6,6
,15,2,4,,2.0,1,5,6,3
1.0,25,2,8,12.0,1.0,1,5,6,13
0.0,24,1,9,12.0,0.0,1,5,1,1
0.0,22,2,5,12.0,0.0,1,5,1,2
,15,1,5,,6.0,1,8,6,3
,21,1,10,,4.0,1,8,6,13
,16,1,5,,6.0,1,8,6,3
0.0,25,1,10,12.0,4.0,1,8,6,1
,19,2,10,,6.0,1,8,6,8
,16,1,6,,6.0,1,8,6,8
,21,1,10,,6.0,1,8,6,3
,18,1,10,,6.0,1,8,6,3
1.0,19,2,7,,3.0,1,8,6,3
1.0,26,2,10,12.0,3.0,1,8,2,1
,23,2,8,,3.0,1,8,2,2
0.0,25,2,10,12.0,3.0,1,8,6,3
,17,2,10,,3.0,1,8,6,3
0.0,28,1,12,12.0,6.0,1,8,6,3
0.0,26,1,10,12.0,6.0,1,8,6,3
,18,2,10,,3.0,1,8,6,8
,20,2,10,,6.0,1,8,6,3
1.0,23,2,4,12.0,6.0,1,8,6,10
1.0,20,1,10,,1.0,1,8,6,8
,18,2,8,,1.0,1,8,6,3
1.0,25,1,4,12.0,1.0,1,8,1,8
,17,2,4,,1.0,1,8,1,9
1.0,26,2,5,12.0,1.0,1,8,2,3
1.0,20,1,8,,1.0,1,8,6,8
,15,1,4,,1.0,1,8,6,3
,19,2,10,,1.0,1,8,6,9
0.0,26,1,5,9.0,1.0,1,8,6,3
,17,2,8,,1.0,1,8,6,3
1.0,26,1,5,12.0,1.0,1,8,2,8
,17,1,5,,1.0,1,8,6,3
0.0,22,2,7,12.0,1.0,1,8,6,3
,16,1,5,,1.0,1,8,6,13
,18,1,5,,1.0,1,8,6,3
,15,2,4,,1.0,1,8,6,9
,16,1,5,,1.0,1,8,6,3
0.0,25,1,10,12.0,1.0,1,8,6,1
,19,2,8,,1.0,1,8,6,8
,17,2,5,,1.0,1,8,6,8
,27,2,8,,1.0,1,8,2,7
0.0,26,2,8,9.0,1.0,1,8,2,3
1.0,25,2,5,12.0,1.0,1,8,2,7
,23,2,8,,1.0,1,8,2,3
0.0,20,1,5,12.0,1.0,1,8,2,7
1.0,25,1,4,12.0,1.0,1,8,6,8
,15,2,4,,1.0,1,8,6,3
1.0,21,1,5,6.0,1.0,1,8,6,3
1.0,20,2,8,7.0,1.0,1,8,2,3
1.0,24,1,5,12.0,1.0,1,8,2,7
,19,1,8,3.0,1.0,1,8,6,3
,16,1,5,,1.0,1,8,6,3
1.0,22,1,5,6.0,1.0,1,8,1,3
,23,2,5,,1.0,1,8,1,7
,27,1,9,10.0,1.0,1,8,3,2
,17,2,4,,1.0,1,8,6,3
,16,2,5,,1.0,1,8,6,3
1.0,25,1,10,12.0,1.0,1,8,6,3
0.0,23,1,10,12.0,1.0,1,8,6,3
,28,2,8,,1.0,1,8,2,7
1.0,24,2,5,,1.0,1,8,1,7
1.0,28,1,5,12.0,1.0,1,8,6,3
,25,1,5,,1.0,1,8,6,3
1.0,22,1,8,4.0,1.0,1,8,6,3
,15,1,4,,1.0,1,8,6,3
,17,2,5,,1.0,1,8,6,3
,15,2,5,,1.0,1,8,6,3
1.0,19,1,5,12.0,1.0,1,8,6,3
,17,1,5,,1.0,1,8,6,3
,16,1,5,,1.0,1,8,6,3
1.0,22,1,5,,1.0,1,8,6,13
0.0,28,2,8,12.0,1.0,1,8,6,3
0.0,24,1,5,12.0,1.0,1,8,6,3
1.0,23,1,4,12.0,1.0,1,8,2,1
,24,2,5,,1.0,1,8,2,2
1.0,25,1,5,12.0,1.0,1,8,6,12
,16,2,4,,1.0,1,8,6,8
,18,2,10,,1.0,1,8,6,3
,15,1,4,,1.0,1,8,6,3
,15,2,4,,1.0,1,8,6,3
,23,2,8,,1.0,1,8,2,3
0.0,24,1,8,12.0,1.0,1,8,2,7
,15,1,4,,1.0,1,8,6,3
0.0,21,1,5,12.0,1.0,1,8,6,3
,17,1,3,,1.0,1,8,6,3
1.0,18,2,8,3.0,1.0,1,8,6,3
,28,1,1,,1.0,1,8,6,3
,20,2,10,,1.0,1,8,6,3
,28,1,1,,2.0,1,8,6,3
,18,1,8,,2.0,1,8,6,3
1.0,24,2,8,,2.0,1,8,4,3
,21,2,9,8.0,2.0,1,8,6,1
1.0,18,2,5,,2.0,1,8,2,6
1.0,23,1,5,12.0,2.0,1,8,2,9
,18,2,10,,2.0,1,8,6,3
0.0,23,1,5,12.0,2.0,1,8,6,9
1.0,20,1,5,,2.0,1,8,6,9
,19,1,5,4.0,1.0,1,8,6,3
,16,1,5,,1.0,1,8,6,3
1.0,25,2,10,12.0,1.0,1,8,6,3
,18,2,10,,1.0,1,8,6,3
,21,2,10,,1.0,1,8,6,3
0.0,25,2,5,12.0,2.0,1,8,4,1
,19,2,10,,3.0,1,8,6,3
0.0,21,1,5,5.0,3.0,1,8,6,3
,18,2,10,,3.0,1,8,6,3
0.0,28,2,10,12.0,3.0,1,8,4,3
1.0,24,2,5,12.0,3.0,1,8,3,2
,17,1,5,,3.0,1,8,6,9
,17,2,5,,2.0,1,8,6,3
,19,1,5,,2.0,1,8,6,9
,19,2,10,6.0,2.0,1,8,6,9
,21,2,10,,2.0,1,8,6,13
,20,2,10,,2.0,1,8,6,3
,18,1,10,,2.0,1,8,6,3
0.0,24,1,10,12.0,2.0,1,8,2,1
,24,2,8,,2.0,1,8,2,2
1.0,25,2,5,12.0,2.0,1,8,6,3
,28,1,10,,2.0,1,8,6,8
,28,1,10,,2.0,1,8,6,8
0.0,24,1,10,5.0,2.0,1,8,6,9
,19,1,10,,2.0,1,8,6,8
,17,2,10,,2.0,1,8,6,8
,17,2,5,,2.0,1,8,6,8
,22,2,5,,2.0,1,8,6,3
,26,2,5,,2.0,1,8,2,2
,20,1,10,,2.0,1,8,6,3
0.0,27,1,10,12.0,2.0,1,8,6,3
,25,2,10,,2.0,1,8,6,3
,23,2,10,,2.0,1,8,6,3
,17,2,10,,6.0,1,8,6,3
1.0,24,1,5,12.0,2.0,1,11,1,3
,15,2,4,8.0,2.0,1,11,1,7
0.0,27,1,6,12.0,3.0,1,11,6,3
,28,2,10,12.0,3.0,1,11,4,1
0.0,22,1,10,12.0,3.0,1,11,6,3
,19,2,10,,3.0,1,11,6,3
1.0,26,1,5,9.0,2.0,1,11,6,3
,21,2,5,,2.0,1,11,6,3
0.0,27,1,12,6.0,5.0,1,11,6,3
1.0,28,2,10,12.0,2.0,1,11,6,3
,25,1,6,6.0,2.0,1,11,6,3
,19,1,10,,3.0,1,11,6,3
1.0,16,2,5,1.0,2.0,1,11,6,3
1.0,26,2,10,12.0,3.0,1,11,6,3
1.0,24,2,5,12.0,3.0,1,11,6,3
,22,1,5,,3.0,1,11,6,3
0.0,26,1,10,12.0,2.0,1,11,6,3
,16,2,5,,5.0,1,11,6,3
0.0,23,1,10,12.0,3.0,1,11,6,3
0.0,25,2,10,12.0,3.0,1,11,6,1
,17,2,5,,2.0,1,11,6,3
,15,2,4,,2.0,1,11,6,3
1.0,25,1,10,,5.0,1,11,6,3
0.0,26,2,12,12.0,5.0,1,11,6,4
,27,1,8,,2.0,1,11,6,3
,17,2,5,,2.0,1,11,6,3
,18,2,5,,2.0,1,11,6,3
,15,2,4,,2.0,1,11,6,3
,18,2,5,,2.0,1,11,6,3
0.0,19,2,4,12.0,5.0,1,11,6,10
1.0,23,2,10,12.0,3.0,1,11,6,3
,22,1,10,,5.0,1,11,6,3
,15,1,4,,5.0,1,11,6,3
,16,1,4,,5.0,1,11,6,3
,28,2,10,12.0,3.0,1,11,2,2
1.0,27,2,10,12.0,2.0,1,11,3,2
,17,2,5,,2.0,1,11,6,3
0.0,28,2,10,12.0,3.0,1,11,6,1
0.0,28,1,10,12.0,2.0,1,11,6,9
0.0,27,2,10,8.0,2.0,1,11,6,3
0.0,22,1,8,12.0,2.0,1,11,6,3
0.0,19,1,5,11.0,2.0,1,11,6,3
,15,1,4,,3.0,1,11,6,8
0.0,24,2,5,8.0,3.0,1,11,6,3
,18,1,9,,2.0,1,11,6,3
,18,1,10,,2.0,1,11,6,3
1.0,22,1,5,12.0,2.0,1,11,6,3
0.0,26,2,10,12.0,3.0,1,11,6,1
0.0,26,1,10,12.0,3.0,1,11,6,1
0.0,21,1,10,10.0,2.0,1,11,6,3
,15,1,4,,2.0,1,11,6,3
,17,2,5,,2.0,1,11,6,3
,16,2,4,,2.0,1,11,6,3
,16,2,4,,2.0,1,11,6,3
0.0,19,1,5,6.0,2.0,1,11,6,3
0.0,28,1,10,12.0,3.0,1,11,6,3
